Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Latitude,Longitude
90029,40242.0,35.4,35132.0,19918.0,11062.0,27.488693404900353,34.09,-118.2944
90033,49156.0,29.5,29499.0,12212.0,18025.0,36.66897225160713,34.0487,-118.2084
90034,57443.0,33.4,60965.0,39185.0,8524.0,14.839057848649967,34.029,-118.4005
90037,61451.0,29.7,27129.0,11330.0,24624.0,40.07095083887976,34.003,-118.2863
90039,28436.0,39.3,77361.0,44638.0,2636.0,9.269939513293009,34.1121,-118.2594
90042,63109.0,34.7,51444.0,23314.0,13124.0,20.795766055554676,34.1145,-118.1929
90043,44328.0,40.0,41449.0,26687.0,8983.0,20.264843890994406,33.9871,-118.3321
90045,41145.0,34.7,81058.0,44571.0,4180.0,10.159193097581722,33.9631,-118.3941
90035,30582.0,36.4,74667.0,50335.0,3449.0,11.277875874697534,34.0531,-118.3806
90036,37931.0,34.3,71917.0,52023.0,5072.0,13.371648519680473,34.0699,-118.3492
90038,28155.0,32.2,35739.0,23709.0,8524.0,30.275261942816552,34.0898,-118.3215
90040,12812.0,34.0,41897.0,15633.0,2204.0,17.202622541367468,33.9909,-118.1532
90041,28405.0,39.7,68457.0,33467.0,3018.0,10.624889984157718,34.1339,-118.2082
90044,90155.0,30.7,30288.0,13515.0,32168.0,35.68077200377128,33.9551,-118.2901
90046,50923.0,39.2,61157.0,61916.0,7274.0,14.284311607721461,34.1074,-118.3652
90048,22722.0,36.5,83672.0,67985.0,2021.0,8.894463515535604,34.0737,-118.372
90057,48302.0,33.3,29332.0,14399.0,17039.0,35.2759720094406,34.0622,-118.2763
90058,2674.0,23.5,15224.0,8260.0,1895.0,70.86761406133134,33.9994,-118.2133
90047,48306.0,39.0,40913.0,20815.0,10238.0,21.194054568790627,33.9569,-118.3073
90049,35581.0,41.2,117007.0,96078.0,2365.0,6.646805879542453,34.066,-118.474
90056,8118.0,50.1,74959.0,47886.0,483.0,5.9497413155949745,33.9853,-118.3707
90059,46027.0,26.3,35061.0,11822.0,16688.0,36.25697959893106,33.9293,-118.2463
90062,33690.0,34.3,37293.0,15316.0,8836.0,26.22736717126744,34.0032,-118.3073
90063,54142.0,31.2,41267.0,14703.0,13729.0,25.357393520741752,34.0451,-118.1859
90064,27032.0,38.3,92626.0,59338.0,2263.0,8.371559633027523,34.0353,-118.4259
90065,46965.0,37.0,54796.0,27209.0,9086.0,19.34632172894709,34.1073,-118.2266
90066,59258.0,37.5,72004.0,42388.0,6448.0,10.881231226163555,34.003,-118.4298
90061,27203.0,29.1,36094.0,13927.0,8926.0,32.812557438517814,33.9245,-118.2716
90067,2355.0,65.8,120208.0,152254.0,176.0,7.473460721868365,34.0551,-118.4095
90068,21450.0,39.7,76485.0,75182.0,2490.0,11.608391608391608,34.1156,-118.3305
90073,915.0,54.3,-666666666.0,11281.0,439.0,47.978142076502735,33.7866,-118.2987
90077,8912.0,47.9,178194.0,100874.0,311.0,3.4896768402154397,34.1112,-118.4502
90089,3680.0,19.1,-666666666.0,7110.0,13.0,0.3532608695652174,33.7866,-118.2987
