Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Latitude,Longitude
90001,57942.0,28.0,34323.0,11294.0,18902.0,32.62227744986366,33.9731,-118.2479
90002,51826.0,27.5,32520.0,11212.0,18302.0,35.31432099718288,33.9497,-118.2462
90005,39338.0,33.9,31485.0,20265.0,11520.0,29.284661141898418,34.0585,-118.3012
90006,61230.0,33.6,31993.0,14306.0,17456.0,28.508900865588764,34.0493,-118.2917
90003,70208.0,28.0,31878.0,10611.0,24556.0,34.9760711030082,33.9653,-118.2727
90004,63095.0,35.5,43180.0,29194.0,12919.0,20.4754734923528,34.0762,-118.3029
90007,41979.0,24.3,22485.0,11658.0,17605.0,41.93763548440887,34.0294,-118.2871
90008,32060.0,43.7,36134.0,28316.0,6769.0,21.11353711790393,34.0116,-118.3411
90010,3524.0,38.8,47569.0,37831.0,581.0,16.48694665153235,34.0606,-118.3027
90013,11668.0,43.7,22058.0,33518.0,5229.0,44.8148782996229,34.0448,-118.2434
90014,7191.0,41.3,23580.0,39272.0,2809.0,39.06271728549576,34.0443,-118.2509
90017,25772.0,30.9,25143.0,20413.0,11732.0,45.52227223343163,34.0559,-118.2666
90021,2954.0,43.7,12370.0,23213.0,1459.0,49.3906567366283,34.0333,-118.2447
90011,104762.0,28.2,31684.0,10103.0,40661.0,38.81273744296596,34.0079,-118.2582
90012,32543.0,35.8,32712.0,21989.0,7755.0,23.830009525858095,34.0614,-118.2385
90015,19378.0,32.8,30463.0,28731.0,7366.0,38.0121787594179,34.0434,-118.2716
90016,47079.0,36.1,41140.0,21578.0,10438.0,22.171244079101086,34.0298,-118.3528
90018,51639.0,34.8,35696.0,17937.0,13485.0,26.113983617033636,34.029,-118.3152
90019,68530.0,37.6,47518.0,28915.0,14117.0,20.599737341310377,34.0482,-118.3343
90020,40170.0,34.2,40353.0,27106.0,7826.0,19.48220064724919,34.0665,-118.3022
90022,67191.0,31.9,40650.0,14423.0,15659.0,23.30520456608772,34.0245,-118.1561
90025,46520.0,34.1,72653.0,49219.0,5871.0,12.620378331900257,34.0447,-118.4487
90027,46043.0,38.2,52922.0,41744.0,7539.0,16.373824468431682,34.104,-118.2925
90031,38940.0,35.6,36801.0,17069.0,10800.0,27.73497688751926,34.0783,-118.2113
90032,47285.0,33.7,45218.0,18613.0,10833.0,22.910013746431215,34.0818,-118.1753
90023,46611.0,30.6,37472.0,12875.0,13071.0,28.042736693055286,34.0245,-118.1975
90024,49737.0,23.0,57210.0,43727.0,12553.0,25.238755855801514,34.0637,-118.4408
90026,67557.0,34.5,51568.0,30685.0,15000.0,22.203472623118255,34.0766,-118.2646
90028,31122.0,34.1,35729.0,28361.0,8369.0,26.890945311997942,34.1005,-118.3254
